output_file,field_name,field_label,description,source,source_field,calculation,unit,denominator,geography,time_period,limitations
tableau_market_quarter.csv,quarter,Quarter,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,quarter_label,Quarter Label,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,quarter_end_date,Quarter End Date,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,ISO date,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,geography_type,Geography Type,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,geography_code,Geography Code,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,geography_name,Geography Name,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,state,State,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,remoteness,Remoteness,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Interpret with source-specific limitations; missing and suppressed values are not converted to zero.
tableau_market_quarter.csv,population_count,Population Count,Prepared Tableau field. See methodology notes and source register for provenance.,local processed ABS ERP denominator,,,count,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Current denominator is static 2025 ERP; quarterly interpolation requires annual source series.
tableau_market_quarter.csv,participant_count,Participant Count,Prepared Tableau field. See methodology notes and source register for provenance.,derived pipeline output,,,count,,as identified by geography_type and geography_code,"quarter, reference_year or reference_period as supplied in output",Available only where the historical local extract contains active participant counts.
